iter	Passed	Remaining
0	138	138166
1	140	69920
2	142	47304
3	144	36054
4	147	29279
5	148	24628
6	150	21332
7	151	18827
8	153	16878
9	155	15354
10	157	14159
11	159	13117
12	160	12207
13	161	11406
14	163	10705
15	164	10101
16	165	9567
17	166	9090
18	167	8656
19	168	8262
20	170	7954
21	171	7642
22	173	7362
23	174	7096
24	175	6855
25	176	6629
26	178	6420
27	179	6223
28	180	6034
29	181	5875
30	182	5707
31	184	5576
32	185	5434
33	186	5300
34	187	5171
35	188	5048
36	189	4926
37	190	4811
38	190	4701
39	191	4596
40	192	4497
41	193	4403
42	193	4314
43	194	4230
44	195	4148
45	196	4067
46	197	4006
47	198	3945
48	200	3882
49	201	3834
50	202	3770
51	203	3708
52	204	3647
53	204	3589
54	205	3533
55	206	3479
56	207	3426
57	207	3376
58	208	3327
59	209	3279
60	210	3234
61	211	3197
62	212	3159
63	213	3123
64	214	3083
65	215	3044
66	215	3005
67	216	2967
68	217	2930
69	217	2894
70	218	2859
71	219	2825
72	219	2792
73	220	2760
74	221	2731
75	222	2702
76	222	2672
77	223	2642
78	224	2614
79	224	2586
80	226	2565
81	227	2542
82	227	2515
83	228	2493
84	229	2470
85	230	2447
86	231	2426
87	232	2405
88	233	2387
89	234	2369
90	235	2350
91	236	2330
92	236	2310
93	237	2291
94	238	2272
95	239	2253
96	240	2240
97	241	2225
98	243	2211
99	244	2198
100	245	2184
101	246	2169
102	247	2154
103	250	2160
104	252	2149
105	253	2135
106	254	2120
107	255	2110
108	257	2103
109	258	2093
110	259	2082
111	260	2068
112	261	2053
113	262	2039
114	263	2025
115	263	2011
116	264	1996
117	265	1983
118	266	1970
119	266	1957
120	267	1945
121	268	1931
122	269	1919
123	270	1912
124	271	1903
125	273	1894
126	273	1882
127	274	1871
128	275	1859
129	276	1848
130	277	1838
131	277	1827
132	278	1816
133	279	1806
134	280	1796
135	281	1787
136	282	1777
137	282	1767
138	283	1757
139	285	1751
140	286	1744
141	287	1736
142	288	1727
143	289	1718
144	289	1709
145	290	1700
146	291	1691
147	292	1682
148	293	1673
149	293	1665
150	294	1658
151	295	1650
152	296	1642
153	297	1634
154	298	1627
155	300	1627
156	302	1623
157	303	1616
158	304	1608
159	304	1600
160	305	1591
161	306	1582
162	306	1575
163	307	1567
164	308	1560
165	309	1552
166	309	1545
167	310	1538
168	311	1531
169	312	1524
170	313	1519
171	314	1514
172	315	1509
173	316	1503
174	317	1497
175	318	1490
176	319	1483
177	319	1476
178	320	1470
179	321	1463
180	321	1456
181	322	1450
182	323	1444
183	324	1438
184	325	1432
185	325	1425
186	326	1419
187	327	1412
188	328	1409
189	329	1403
190	330	1399
191	331	1394
192	332	1388
193	332	1382
194	333	1377
195	334	1371
196	335	1365
197	335	1359
198	336	1354
199	337	1349
200	338	1344
201	338	1338
202	339	1333
203	340	1328
204	341	1323
205	341	1318
206	343	1315
207	344	1311
208	345	1306
209	346	1301
210	346	1296
211	347	1291
212	348	1287
213	349	1282
214	349	1277
215	350	1272
216	351	1268
217	352	1263
218	352	1258
219	353	1254
220	354	1249
221	355	1245
222	356	1241
223	356	1236
224	358	1234
225	359	1230
226	360	1227
227	361	1223
228	362	1218
229	362	1214
230	363	1210
231	364	1206
232	365	1202
233	365	1197
234	366	1193
235	367	1189
236	368	1185
237	369	1181
238	369	1177
239	370	1173
240	371	1169
241	372	1168
242	374	1166
243	375	1162
244	376	1159
245	377	1155
246	378	1152
247	378	1149
248	379	1145
249	380	1141
250	381	1138
251	382	1134
252	383	1131
253	384	1127
254	384	1124
255	385	1120
256	386	1118
257	387	1115
258	389	1113
259	390	1110
260	390	1106
261	391	1103
262	392	1099
263	393	1095
264	393	1092
265	394	1088
266	395	1085
267	396	1081
268	396	1078
269	397	1075
270	398	1071
271	399	1068
272	399	1064
273	400	1061
274	402	1060
275	403	1059
276	404	1056
277	405	1052
278	406	1049
279	406	1046
280	407	1043
281	408	1040
282	409	1037
283	410	1034
284	411	1031
285	411	1028
286	412	1025
287	413	1022
288	414	1019
289	415	1016
290	416	1015
291	417	1013
292	418	1010
293	419	1007
